Sl. No.,City,Dangerous or Careless Driving/Over-taking/etc.,Dangerous or Careless Driving/Over-taking/etc.,Dangerous or Careless Driving/Over-taking/etc.,Over Speeding,Over Speeding,Over Speeding,Driving under Influence of Drug/Alcohol,Driving under Influence of Drug/Alcohol,Driving under Influence of Drug/Alcohol,Physical Fatigue of Drivers,Physical Fatigue of Drivers,Physical Fatigue of Drivers,Defect in Mechanical Condition of Motor Vehicle,Defect in Mechanical Condition of Motor Vehicle,Defect in Mechanical Condition of Motor Vehicle,Animal Crossing,Animal Crossing,Animal Crossing,Weather Condition (Total),Weather Condition (Total),Weather Condition (Total),Weather Condition(Poor Visibility),Weather Condition(Poor Visibility),Weather Condition(Poor Visibility),Weather Condition (Others Causes),Weather Condition (Others Causes),Weather Condition (Others Causes),Lack of Road Infrastructure,Lack of Road Infrastructure,Lack of Road Infrastructure,Vehicles Parking at Road Shoulders,Vehicles Parking at Road Shoulders,Vehicles Parking at Road Shoulders,Causes Not Known,Causes Not Known,Causes Not Known,Other Causes,Other Causes,Other Causes,Total Road Accidents,Total Road Accidents,Total Road Accidents,Unmanned Railway Crossing Accidents,Unmanned Railway Crossing Accidents,Unmanned Railway Crossing Accidents,Grand Total,Grand Total,Grand Total
,,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died
78,RAJKOT,0,0,0,575,437,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,437,170,0,0,0,575,437,170
79,RANCHI,152,53,91,149,112,62,53,76,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,241,233,0,0,0,354,241,233
80,SRINAGAR,0,0,0,310,323,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,323,45,0,0,0,310,323,45
81,SURAT,93,77,19,765,637,270,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,718,292,0,0,0,865,718,292
82,THIRUVANANTHAPURAM,534,506,45,973,1007,101,32,10,4,16,10,2,23,21,1,24,44,0,18,18,0,18,18,0,0,0,0,9,12,2,37,35,0,14,13,1,24,25,4,1704,1701,160,0,0,0,1704,1701,160
83,THRISSUR,435,480,54,1725,1989,133,6,6,0,0,0,0,24,6,23,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,5,3,1,0,0,0,0,0,0,2210,2491,213,0,0,0,2210,2491,213
84,TIRUCHIRAPPALLI,39,50,15,470,515,85,1,2,0,0,0,0,0,0,0,0,0,0,7,18,4,0,0,0,7,18,4,0,0,0,0,0,0,0,0,0,0,0,0,517,585,104,0,0,0,517,585,104
85,VADODARA,40,41,3,632,504,154,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,551,158,0,0,0,679,551,158
86,VARANASI,23,11,14,14,5,10,6,1,6,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,0,0,0,0,0,0,1,1,1,114,72,43,0,0,0,160,91,76,0,0,0,160,91,76
87,VASAI VIRAR,311,161,160,12,11,2,0,0,0,0,0,0,2,1,1,1,1,0,9,6,3,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,335,180,166,0,0,0,335,180,166
88,VIJAYAWADA,167,158,38,1263,1219,309,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,8,7,2,0,0,0,1,0,1,0,0,0,60,58,5,0,0,0,1499,1442,355,0,0,0,1499,1442,355
89,VISHAKHAPATNAM,240,193,84,678,599,209,5,5,2,0,0,0,0,0,0,0,0,0,23,28,4,15,16,3,8,12,1,0,0,0,2,1,2,3,0,3,15,0,16,966,826,320,0,0,0,966,826,320
,TOTAL (CITIES),17978,14932,4089,38031,34151,8117,1439,1190,354,1072,1004,275,736,719,187,221,210,82,2504,2311,430,1578,1508,210,926,803,220,244,206,112,205,211,66,1165,864,367,3633,3185,703,67228,58983,14782,3,0,3,67231,58983,14785
